update,env_steps,agent_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,assignment_aux_loss,explained_variance,rollout_episode_return_mean,rollout_collision_count_mean,rollout_landmarks_covered_mean
0,1600,4800,-0.0005907708423915636,11.395248413085938,1.5338577330112457,1.6322741885232972e-05,0.0,1.0386887192726135,-0.028774738311767578,-12.014998293324158,1.5846153846153845,0.7442397229642639
1,3200,9600,-0.0004067568379113595,8.208118915557861,1.564620465040207,9.564407946527353e-06,0.0,1.0682250261306763,-0.008752942085266113,-10.817957549830718,1.588235294117647,0.8057618659727743
2,4800,14400,-0.0003455708087134468,6.876258730888367,1.5108822286128998,8.957886393545778e-06,0.0,1.0216237008571625,0.04093456268310547,-11.045484286626655,1.6164383561643836,0.7253612716447737
3,6400,19200,-0.00018344290481753234,7.344561219215393,1.5038933455944061,7.23985272088612e-06,0.0,0.9976406991481781,-0.036731600761413574,-11.004365175407795,1.44,0.7513572327569232
4,8000,24000,-0.00017820030312520885,6.97802460193634,1.5176238119602203,5.136516392667545e-06,0.0,1.0064983665943146,0.0002105236053466797,-11.695291159389955,1.375,0.7965530921103536
5,9600,28800,-9.411677687154452e-05,5.933972120285034,1.5065539181232452,4.036886451785904e-06,0.0,0.9955271929502487,0.02912116050720215,-10.600587858034979,1.2619047619047619,0.7868860259614878
6,11200,33600,-0.00013168081375702911,6.422712087631226,1.5130964517593384,3.831601873116597e-06,0.0,1.005310744047165,-0.04371368885040283,-10.799374808867771,1.481012658227848,0.8362663783830235
7,12800,38400,-0.00014696329992158752,7.139460444450378,1.5423146486282349,3.586993557291862e-06,0.0,1.0672939121723175,0.017780840396881104,-11.669665804305286,1.4444444444444444,0.7891368149201472
8,14400,43200,-0.00017352789414859515,6.454597115516663,1.53388911485672,3.6910432186232356e-06,0.0,1.0521062910556793,0.005582153797149658,-11.771395343227518,1.6133333333333333,0.804882158484043
9,16000,48000,-9.424909800137549e-05,6.180697441101074,1.5144151747226715,3.201768265626015e-06,0.0,1.0164373815059662,0.008849561214447021,-11.12691058156391,1.368421052631579,0.7979531266291722
