update,env_steps,agent_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,assignment_aux_loss,explained_variance,rollout_episode_return_mean,rollout_collision_count_mean,rollout_landmarks_covered_mean
0,1600,4800,-0.0005816978859369826,10.894962072372437,1.500845342874527,1.7063259292626753e-05,0.0,0.9946862906217575,-0.007237792015075684,-11.276110096728031,0.8805970149253731,0.7969561240827486
1,3200,9600,-0.0004489056798044899,6.9037394523620605,1.5079967081546783,9.535895515000448e-06,0.0,1.003678411245346,-0.0410161018371582,-10.641076023826997,1.3733333333333333,0.7846629544488206
2,4800,14400,-0.0001427665372464304,7.164329171180725,1.558392345905304,6.172349571897939e-06,0.0,1.080533117055893,-4.6372413635253906e-05,-11.334993320712378,1.5857142857142856,0.7687088736824521
3,6400,19200,-0.00021189909632068904,7.14343786239624,1.5391797721385956,5.283488349050458e-06,0.0,1.0455752909183502,-0.011197090148925781,-10.952863128813874,1.445945945945946,0.7711349292076846
4,8000,24000,-9.083554484234924e-05,7.297860860824585,1.5195743143558502,3.2931263547197887e-06,0.0,1.019265055656433,0.007114231586456299,-12.482562554106117,1.52,0.7628256926603406
5,9600,28800,-0.0002303461384141059,6.349655270576477,1.5286326706409454,5.049444723681518e-06,0.0,1.025789499282837,0.0026570558547973633,-10.341297463676892,1.15,0.7722769477362162
6,11200,33600,-0.00016406193513773815,5.578195691108704,1.487139493227005,6.389352449787111e-06,0.0,0.9753761887550354,0.035749852657318115,-11.09350621253252,1.2875,0.836425643758621
7,12800,38400,-0.00017214834850154404,7.313744902610779,1.5239920020103455,5.621982126058356e-06,0.0,1.0172556638717651,0.05458414554595947,-10.572413861862126,1.6164383561643836,0.8428010159915069
8,14400,43200,-9.151108555727205e-05,7.251378893852234,1.556458979845047,4.256900894006321e-06,0.0,1.0646149218082428,0.0034096837043762207,-12.01824574831974,1.6486486486486487,0.7973763583048143
9,16000,48000,-0.00011373378045387295,7.152150869369507,1.5459505021572113,3.525516859781419e-06,0.0,1.0643380880355835,-0.002115607261657715,-12.86416866606823,1.9189189189189189,0.687000511890302
