method,seed,mean_episode_return,std_episode_return,mean_episode_length,mean_collision_count,mean_landmarks_covered,success_near_end_rate,mean_sum_min_dists
baseline,0,-22.231762516043254,6.353569875559155,24.9,7.183333333333334,0.1507368421052631,0.016666666666666666,1.589279112934291
baseline,1,-18.732159107095665,5.343908427258038,24.6,5.966666666666667,0.16994987922705312,0.05,1.3573171185148678
baseline,2,-20.717185564421946,5.727051755621351,24.916666666666668,6.416666666666667,0.15633333333333335,0.016666666666666666,1.4883540219953395
